case,target,heading_deg,north_nm,east_nm
1,1,180,6.009,0.000
2,1,-90,0.000,6.009
3,1,0,-2.337,0.000
4,1,45,-4.249,-4.249
5,1,180,6.009,0.000
5,2,-90,0.000,6.009
6,1,-10,-5.918,1.043
6,2,-45,-4.249,4.249
7,1,0,-2.337,0.000
7,2,-45,-4.249,4.249
8,1,180,6.009,0.000
8,2,-90,0.000,6.009
9,1,-30,-5.204,3.004
9,2,-90,0.000,6.009
10,1,-90,0.000,6.009
10,2,15,-5.804,-1.555
11,1,90,0.000,-6.009
11,2,-30,-5.204,3.004
12,1,180,6.009,0.000
12,2,-45,-4.249,4.249
12,3,-10,-5.918,1.043
13,1,180,6.009,0.000
13,2,10,-5.918,-1.043
13,3,45,-4.249,-4.249
14,1,-10,-5.918,1.043
14,2,-45,-4.249,4.249
14,3,-90,0.000,6.009
15,1,0,-2.337,0.000
15,2,-45,-4.249,4.249
15,3,-90,0.000,6.009
16,1,45,-4.249,-4.249
16,2,90,0.000,-6.009
16,3,-90,0.000,6.009
17,1,0,-2.337,0.000
17,2,10,-5.918,-1.043
17,3,-45,-4.249,4.249
18,1,-135,4.249,4.249
18,2,-15,-5.804,1.555
18,3,-30,-5.204,3.004
19,1,15,-5.804,-1.555
19,2,-15,-5.804,1.555
19,3,-135,4.249,4.249
20,1,0,-2.337,0.000
20,2,-15,-5.804,1.555
20,3,-90,0.000,6.009
21,1,-15,-5.804,1.555
21,2,15,-5.804,-1.555
21,3,-90,0.000,6.009
22,1,0,-2.337,0.000
22,2,-45,-4.249,4.249
22,3,-90,0.000,6.009
