time,vehicle,x,y,heading,speed
0,opship,0,0,90,0.0
10,opship,0,0,90,0.0
20,opship,0,0,90,0.0
30,opship,0,0,90,0.0
40,opship,0,0,90,0.0
50,opship,0,0,90,0.0
60,opship,0,0,90,0.0
70,opship,0,0,90,0.0
80,opship,0,0,90,0.0
90,opship,0,0,90,0.0
100,opship,0,0,90,0.0
110,opship,0,0,90,0.0
120,opship,0,0,90,0.0
130,opship,0,0,90,0.0
140,opship,0,0,90,0.0
150,opship,0,0,90,0.0
160,opship,0,0,90,0.0
170,opship,0,0,90,0.0
180,opship,0,0,90,0.0
190,opship,0,0,90,0.0
200,opship,0,0,90,0.0
210,opship,0,0,90,0.0
220,opship,0,0,90,0.0
230,opship,0,0,90,0.0
240,opship,0,0,90,0.0
250,opship,0,0,90,0.0
260,opship,0,0,90,0.0
270,opship,0,0,90,0.0
280,opship,0,0,90,0.0
290,opship,0,0,90,0.0
300,opship,0,0,90,0.0
310,opship,0,0,90,0.0
320,opship,0,0,90,0.0
330,opship,0,0,90,0.0
340,opship,0,0,90,0.0
350,opship,0,0,90,0.0
360,opship,0,0,90,0.0
370,opship,0,0,90,0.0
380,opship,0,0,90,0.0
390,opship,0,0,90,0.0
400,opship,0,0,90,0.0
410,opship,0,0,90,0.0
420,opship,0,0,90,0.0
430,opship,0,0,90,0.0
440,opship,0,0,90,0.0
450,opship,0,0,90,0.0
460,opship,0,0,90,0.0
470,opship,0,0,90,0.0
480,opship,0,0,90,0.0
490,opship,0,0,90,0.0
500,opship,0,0,90,0.0
510,opship,0,0,90,0.0
520,opship,0,0,90,0.0
530,opship,0,0,90,0.0
540,opship,0,0,90,0.0
550,opship,0,0,90,0.0
560,opship,0,0,90,0.0
570,opship,0,0,90,0.0
580,opship,0,0,90,0.0
590,opship,0,0,90,0.0
600,opship,0,0,90,0.0
0,ts1,500,300,270,2.0
10,ts1,480,300,270,2.0
20,ts1,460,300,270,2.0
30,ts1,440,300,270,2.0
40,ts1,420,300,270,2.0
50,ts1,400,300,270,2.0
60,ts1,380,300,270,2.0
70,ts1,360,300,270,2.0
80,ts1,340,300,270,2.0
90,ts1,320,300,270,2.0
100,ts1,300,300,270,2.0
110,ts1,280,300,270,2.0
120,ts1,260,300,270,2.0
130,ts1,240,300,270,2.0
140,ts1,220,300,270,2.0
150,ts1,200,300,270,2.0
160,ts1,180,300,270,2.0
170,ts1,160,300,270,2.0
180,ts1,140,300,270,2.0
190,ts1,120,300,270,2.0
200,ts1,100,300,270,2.0
210,ts1,80,300,270,2.0
220,ts1,60,300,270,2.0
230,ts1,40,300,270,2.0
240,ts1,20,300,270,2.0
250,ts1,0,300,270,2.0
260,ts1,-20,300,270,2.0
270,ts1,-40,300,270,2.0
280,ts1,-60,300,270,2.0
290,ts1,-80,300,270,2.0
300,ts1,-100,300,270,2.0
310,ts1,-120,300,270,2.0
320,ts1,-140,300,270,2.0
330,ts1,-160,300,270,2.0
340,ts1,-180,300,270,2.0
350,ts1,-200,300,270,2.0
360,ts1,-220,300,270,2.0
370,ts1,-240,300,270,2.0
380,ts1,-260,300,270,2.0
390,ts1,-280,300,270,2.0
400,ts1,-300,300,270,2.0
410,ts1,-320,300,270,2.0
420,ts1,-340,300,270,2.0
430,ts1,-360,300,270,2.0
440,ts1,-380,300,270,2.0
450,ts1,-400,300,270,2.0
460,ts1,-420,300,270,2.0
470,ts1,-440,300,270,2.0
480,ts1,-460,300,270,2.0
490,ts1,-480,300,270,2.0
500,ts1,-500,300,270,2.0
510,ts1,-520,300,270,2.0
520,ts1,-540,300,270,2.0
530,ts1,-560,300,270,2.0
540,ts1,-580,300,270,2.0
550,ts1,-600,300,270,2.0
560,ts1,-620,300,270,2.0
570,ts1,-640,300,270,2.0
580,ts1,-660,300,270,2.0
590,ts1,-680,300,270,2.0
600,ts1,-700,300,270,2.0
