time,vehicle,x,y,heading,speed
0,opship,0.0,0.0,90,5.0
5,opship,25.0,1.5308084989341915e-15,90,5.0
10,opship,50.0,3.061616997868383e-15,90,5.0
15,opship,75.0,4.592425496802574e-15,90,5.0
20,opship,100.0,6.123233995736766e-15,90,5.0
25,opship,125.0,7.654042494670958e-15,90,5.0
30,opship,150.0,9.184850993605149e-15,90,5.0
35,opship,175.0,1.0715659492539341e-14,90,5.0
40,opship,200.0,1.2246467991473532e-14,90,5.0
45,opship,225.0,1.3777276490407723e-14,90,5.0
50,opship,250.0,1.5308084989341916e-14,90,5.0
55,opship,275.0,1.6838893488276108e-14,90,5.0
60,opship,300.0,1.8369701987210297e-14,90,5.0
65,opship,325.0,1.990051048614449e-14,90,5.0
70,opship,350.0,2.1431318985078682e-14,90,5.0
75,opship,375.0,2.2962127484012872e-14,90,5.0
80,opship,400.0,2.4492935982947064e-14,90,5.0
85,opship,425.0,2.6023744481881257e-14,90,5.0
90,opship,450.0,2.7554552980815446e-14,90,5.0
95,opship,475.0,2.9085361479749636e-14,90,5.0
100,opship,500.0,3.061616997868383e-14,90,5.0
105,opship,525.0,3.214697847761802e-14,90,5.0
110,opship,550.0,3.3677786976552216e-14,90,5.0
115,opship,575.0,3.5208595475486406e-14,90,5.0
120,opship,600.0,3.6739403974420595e-14,90,5.0
125,opship,625.0,3.827021247335479e-14,90,5.0
130,opship,650.0,3.980102097228898e-14,90,5.0
135,opship,675.0,4.133182947122317e-14,90,5.0
140,opship,700.0,4.2862637970157365e-14,90,5.0
145,opship,725.0,4.4393446469091554e-14,90,5.0
150,opship,750.0,4.5924254968025744e-14,90,5.0
155,opship,775.0,4.745506346695994e-14,90,5.0
160,opship,800.0,4.898587196589413e-14,90,5.0
165,opship,825.0,5.051668046482832e-14,90,5.0
170,opship,850.0,5.2047488963762514e-14,90,5.0
175,opship,875.0,5.35782974626967e-14,90,5.0
180,opship,900.0,5.510910596163089e-14,90,5.0
185,opship,925.0,5.663991446056509e-14,90,5.0
190,opship,950.0,5.817072295949927e-14,90,5.0
195,opship,975.0,5.970153145843347e-14,90,5.0
200,opship,1000.0,6.123233995736766e-14,90,5.0
0,ts1,500,0.0,270,2.0
5,ts1,490,0.0,270,2.0
10,ts1,480,0.0,270,2.0
15,ts1,470,0.0,270,2.0
20,ts1,460,0.0,270,2.0
25,ts1,450,0.0,270,2.0
30,ts1,440,0.0,270,2.0
35,ts1,430,0.0,270,2.0
40,ts1,420,0.0,270,2.0
45,ts1,410,0.0,270,2.0
50,ts1,400,0.0,270,2.0
55,ts1,390,0.0,270,2.0
60,ts1,380,0.0,270,2.0
65,ts1,370,0.0,270,2.0
70,ts1,360,0.0,270,2.0
75,ts1,350,0.0,270,2.0
80,ts1,340,0.0,270,2.0
85,ts1,330,0.0,270,2.0
90,ts1,320,0.0,270,2.0
95,ts1,310,0.0,270,2.0
100,ts1,300,0.0,270,2.0
105,ts1,290,0.0,270,2.0
110,ts1,280,0.0,270,2.0
115,ts1,270,0.0,270,2.0
120,ts1,260,0.0,270,2.0
125,ts1,250,0.0,270,2.0
130,ts1,240,0.0,270,2.0
135,ts1,230,0.0,270,2.0
140,ts1,220,0.0,270,2.0
145,ts1,210,0.0,270,2.0
150,ts1,200,0.0,270,2.0
155,ts1,190,0.0,270,2.0
160,ts1,180,0.0,270,2.0
165,ts1,170,0.0,270,2.0
170,ts1,160,0.0,270,2.0
175,ts1,150,0.0,270,2.0
180,ts1,140,0.0,270,2.0
185,ts1,130,0.0,270,2.0
190,ts1,120,0.0,270,2.0
195,ts1,110,0.0,270,2.0
200,ts1,100,0.0,270,2.0
